CPU: 0, Speed: 10341.522729[KByte/ns]
CPU: 1, Speed: 10979.888576[KByte/ns]
CPU: 2, Speed: 10959.518706[KByte/ns]
CPU: 3, Speed: 10939.799268[KByte/ns]
CPU: 4, Speed: 9315.169481[KByte/ns]
CPU: 5, Speed: 10396.861610[KByte/ns]
CPU: 6, Speed: 8788.519721[KByte/ns]
CPU: 7, Speed: 10970.322920[KByte/ns]
CPU: 8, Speed: 10853.884875[KByte/ns]
CPU: 9, Speed: 10999.726940[KByte/ns]
CPU: 10, Speed: 10854.872057[KByte/ns]
CPU: 11, Speed: 10962.024720[KByte/ns]
CPU: 12, Speed: 10968.377012[KByte/ns]
CPU: 13, Speed: 11002.050421[KByte/ns]
CPU: 14, Speed: 10902.169425[KByte/ns]
CPU: 15, Speed: 10840.413655[KByte/ns]
CPU: 16, Speed: 10880.902571[KByte/ns]
CPU: 17, Speed: 11000.277585[KByte/ns]
CPU: 18, Speed: 10964.123333[KByte/ns]
CPU: 19, Speed: 10805.759301[KByte/ns]
CPU: 20, Speed: 10938.976535[KByte/ns]
CPU: 21, Speed: 10849.620655[KByte/ns]
CPU: 22, Speed: 10927.039814[KByte/ns]
CPU: 23, Speed: 10880.449363[KByte/ns]
CPU: 24, Speed: 10709.043243[KByte/ns]
CPU: 25, Speed: 10938.693749[KByte/ns]
CPU: 26, Speed: 10939.098067[KByte/ns]
CPU: 27, Speed: 10953.811713[KByte/ns]
CPU: 28, Speed: 10974.292078[KByte/ns]
CPU: 29, Speed: 10352.726700[KByte/ns]
CPU: 30, Speed: 11052.669641[KByte/ns]
CPU: 31, Speed: 10853.254461[KByte/ns]
CPU: 32, Speed: 10930.109634[KByte/ns]
CPU: 33, Speed: 10967.152949[KByte/ns]
CPU: 34, Speed: 9656.006649[KByte/ns]
CPU: 35, Speed: 10914.663744[KByte/ns]
CPU: 36, Speed: 10939.948869[KByte/ns]
CPU: 37, Speed: 11013.339047[KByte/ns]
CPU: 38, Speed: 10920.965908[KByte/ns]
CPU: 39, Speed: 10916.036703[KByte/ns]
CPU: 40, Speed: 10926.277291[KByte/ns]
CPU: 41, Speed: 10969.472088[KByte/ns]
CPU: 42, Speed: 10903.927032[KByte/ns]
CPU: 43, Speed: 10907.999334[KByte/ns]
CPU: 44, Speed: 10673.833701[KByte/ns]
CPU: 45, Speed: 11017.540915[KByte/ns]
CPU: 46, Speed: 10926.466163[KByte/ns]
CPU: 47, Speed: 10916.425382[KByte/ns]
