CPU: 0, Speed: 1083.488461[Byte/us]
CPU: 1, Speed: 1076.226973[Byte/us]
CPU: 2, Speed: 1072.982716[Byte/us]
CPU: 3, Speed: 1076.192725[Byte/us]
CPU: 4, Speed: 1125.855832[Byte/us]
CPU: 5, Speed: 1074.144970[Byte/us]
CPU: 6, Speed: 1071.616244[Byte/us]
CPU: 7, Speed: 1066.356728[Byte/us]
CPU: 8, Speed: 1125.948544[Byte/us]
CPU: 9, Speed: 1083.413674[Byte/us]
CPU: 10, Speed: 1071.015126[Byte/us]
CPU: 11, Speed: 1071.193647[Byte/us]
CPU: 12, Speed: 1125.645080[Byte/us]
CPU: 13, Speed: 1074.450136[Byte/us]
CPU: 14, Speed: 1076.291424[Byte/us]
CPU: 15, Speed: 1076.846535[Byte/us]
CPU: 16, Speed: 1125.634825[Byte/us]
CPU: 17, Speed: 1075.425441[Byte/us]
CPU: 18, Speed: 1080.551769[Byte/us]
CPU: 19, Speed: 1073.930593[Byte/us]
CPU: 20, Speed: 1124.671408[Byte/us]
CPU: 21, Speed: 1080.331597[Byte/us]
CPU: 22, Speed: 1071.419916[Byte/us]
CPU: 23, Speed: 1067.789056[Byte/us]
CPU: 24, Speed: 1091.433617[Byte/us]
CPU: 25, Speed: 1043.648458[Byte/us]
CPU: 26, Speed: 1068.554571[Byte/us]
CPU: 27, Speed: 1071.424473[Byte/us]
CPU: 28, Speed: 1125.258180[Byte/us]
CPU: 29, Speed: 1077.527737[Byte/us]
CPU: 30, Speed: 1063.850942[Byte/us]
CPU: 31, Speed: 1067.540103[Byte/us]
CPU: 32, Speed: 1125.289708[Byte/us]
CPU: 33, Speed: 1066.144299[Byte/us]
CPU: 34, Speed: 1075.748608[Byte/us]
CPU: 35, Speed: 1061.214822[Byte/us]
CPU: 36, Speed: 1125.164962[Byte/us]
CPU: 37, Speed: 1075.943207[Byte/us]
CPU: 38, Speed: 1077.898369[Byte/us]
CPU: 39, Speed: 1074.628384[Byte/us]
CPU: 40, Speed: 1125.201322[Byte/us]
CPU: 41, Speed: 1078.627079[Byte/us]
CPU: 42, Speed: 1068.909162[Byte/us]
CPU: 43, Speed: 1063.989681[Byte/us]
CPU: 44, Speed: 1120.526702[Byte/us]
CPU: 45, Speed: 1079.316148[Byte/us]
CPU: 46, Speed: 1073.873783[Byte/us]
CPU: 47, Speed: 1071.210301[Byte/us]
