CPU: 0, Speed: 54988.087738[KByte/us]
CPU: 1, Speed: 59435.251648[KByte/us]
CPU: 2, Speed: 74389.662531[KByte/us]
CPU: 3, Speed: 61606.595471[KByte/us]
CPU: 4, Speed: 63327.679396[KByte/us]
CPU: 5, Speed: 55535.919486[KByte/us]
CPU: 6, Speed: 72801.701712[KByte/us]
CPU: 7, Speed: 61724.179803[KByte/us]
CPU: 8, Speed: 63294.521635[KByte/us]
CPU: 9, Speed: 56204.004254[KByte/us]
CPU: 10, Speed: 74822.945018[KByte/us]
CPU: 11, Speed: 61977.099469[KByte/us]
CPU: 12, Speed: 63397.401282[KByte/us]
CPU: 13, Speed: 55806.848052[KByte/us]
CPU: 14, Speed: 74645.986416[KByte/us]
CPU: 15, Speed: 61966.702471[KByte/us]
CPU: 16, Speed: 63597.069873[KByte/us]
CPU: 17, Speed: 57483.697360[KByte/us]
CPU: 18, Speed: 70972.700053[KByte/us]
CPU: 19, Speed: 61517.034978[KByte/us]
CPU: 20, Speed: 62356.819775[KByte/us]
CPU: 21, Speed: 55619.525735[KByte/us]
CPU: 22, Speed: 71367.672342[KByte/us]
CPU: 23, Speed: 60548.575439[KByte/us]
CPU: 24, Speed: 60370.143191[KByte/us]
CPU: 25, Speed: 59871.355098[KByte/us]
CPU: 26, Speed: 73066.251041[KByte/us]
CPU: 27, Speed: 60715.902631[KByte/us]
CPU: 28, Speed: 61050.044016[KByte/us]
CPU: 29, Speed: 56517.886018[KByte/us]
CPU: 30, Speed: 65250.450914[KByte/us]
CPU: 31, Speed: 57912.437361[KByte/us]
CPU: 32, Speed: 61133.392634[KByte/us]
CPU: 33, Speed: 55087.459670[KByte/us]
CPU: 34, Speed: 74997.373334[KByte/us]
CPU: 35, Speed: 56881.635216[KByte/us]
CPU: 36, Speed: 56224.794662[KByte/us]
CPU: 37, Speed: 54995.671100[KByte/us]
CPU: 38, Speed: 75489.035221[KByte/us]
CPU: 39, Speed: 58704.473852[KByte/us]
CPU: 40, Speed: 55250.206262[KByte/us]
CPU: 41, Speed: 54706.529744[KByte/us]
CPU: 42, Speed: 75069.315737[KByte/us]
CPU: 43, Speed: 58377.997575[KByte/us]
CPU: 44, Speed: 58210.582610[KByte/us]
CPU: 45, Speed: 52824.794920[KByte/us]
CPU: 46, Speed: 75619.683962[KByte/us]
CPU: 47, Speed: 57692.114013[KByte/us]
