CPU: 0, Speed: 21156.136341[Byte/us]
CPU: 1, Speed: 6791.862227[Byte/us]
CPU: 2, Speed: 6718.876145[Byte/us]
CPU: 3, Speed: 6709.633155[Byte/us]
CPU: 4, Speed: 21809.526571[Byte/us]
CPU: 5, Speed: 6738.934541[Byte/us]
CPU: 6, Speed: 6705.133286[Byte/us]
CPU: 7, Speed: 6685.256488[Byte/us]
CPU: 8, Speed: 21684.575093[Byte/us]
CPU: 9, Speed: 6759.966542[Byte/us]
CPU: 10, Speed: 6690.561558[Byte/us]
CPU: 11, Speed: 6650.660498[Byte/us]
CPU: 12, Speed: 21639.925343[Byte/us]
CPU: 13, Speed: 6756.584008[Byte/us]
CPU: 14, Speed: 6684.916394[Byte/us]
CPU: 15, Speed: 6652.689339[Byte/us]
CPU: 16, Speed: 21725.062129[Byte/us]
CPU: 17, Speed: 6750.248920[Byte/us]
CPU: 18, Speed: 6701.300418[Byte/us]
CPU: 19, Speed: 6681.649695[Byte/us]
CPU: 20, Speed: 21829.385192[Byte/us]
CPU: 21, Speed: 6792.271664[Byte/us]
CPU: 22, Speed: 6715.740549[Byte/us]
CPU: 23, Speed: 6711.053754[Byte/us]
CPU: 24, Speed: 21255.681017[Byte/us]
CPU: 25, Speed: 6736.482597[Byte/us]
CPU: 26, Speed: 6717.581787[Byte/us]
CPU: 27, Speed: 6712.669813[Byte/us]
CPU: 28, Speed: 21662.273073[Byte/us]
CPU: 29, Speed: 6739.384031[Byte/us]
CPU: 30, Speed: 6705.035285[Byte/us]
CPU: 31, Speed: 6681.806589[Byte/us]
CPU: 32, Speed: 21594.094367[Byte/us]
CPU: 33, Speed: 6729.922618[Byte/us]
CPU: 34, Speed: 6690.410554[Byte/us]
CPU: 35, Speed: 6658.357519[Byte/us]
CPU: 36, Speed: 21576.303475[Byte/us]
CPU: 37, Speed: 6725.592978[Byte/us]
CPU: 38, Speed: 6678.715989[Byte/us]
CPU: 39, Speed: 6656.155076[Byte/us]
CPU: 40, Speed: 21713.165796[Byte/us]
CPU: 41, Speed: 6728.493642[Byte/us]
CPU: 42, Speed: 6697.310577[Byte/us]
CPU: 43, Speed: 6674.104400[Byte/us]
CPU: 44, Speed: 21882.249190[Byte/us]
CPU: 45, Speed: 6746.467856[Byte/us]
CPU: 46, Speed: 6705.986819[Byte/us]
CPU: 47, Speed: 6700.826889[Byte/us]
